"Always equal to ACS Summary File identification"	"State Postal Abbreviation"	"Summary Level"	"Geographic Component"	"US"	"Census Region"	"Census Division"	"State (FIPS Code)"	"County of current residence"	"County Subdivision (FIPS)"	"Place (FIPS Code)"	"Census Tract"	"Block Group"	"Consolidated City"	"American Indian Area/Alaska Native Area/ Hawaiian Home Land (Census)"	"American Indian Area/Alaska Native Area/ Hawaiian Home Land (FIPS)"	"American Indian Trust Land/Hawaiian Home Land Indicator"	"American Indian Tribal Subdivision (FIPS)"	"Alaska Native Regional Corporation (FIPS)"	"Metropolitan and Micropolitan Statistical Area"	"Combined Statistical Area"	"Metropolitan Statistical Area-Metropolitan Division"	"Metropolitan Area Central City"	"Metropolitan/Micropolitan Indicator Flag"	"New England City and Town Area"	"New England City and Town Combined Statistical Area"	"New England City and Town Area Division"	"Urban Area"	"Current Congressional District ***"	"State Legislative District Upper"	"State Legislative District Lower"	"5-digit ZIP Code Tabulation Area"	"Subminor Civil Division (FIPS)"	"State-School District (Elementary)"	"State-School District (Secondary)"	"State-School District (Unified)"	"Urban/Rural"	"Principal City Indicator"	"Public Use Microdata Area – 5% File"	"Geographic Identifier"	"Area Name"	"Tribal Tract"	"Tribal Block Group"	"Qualifying Name"	"FIPS"	"Area (Land)"	"Area (Water)"	"Place (State FIPS + Place FIPS)"	"ZIP Code Tabulation Area (3-digit)"	"Total Population"	"Population Density (Per Sq. Mile)"	"Area (Land)"
Geo_FILEID	Geo_STUSAB	Geo_SUMLEV	Geo_GEOCOMP	Geo_US	Geo_REGION	Geo_DIVISION	Geo_STATE	Geo_COUNTY	Geo_COUSUB	Geo_PLACE	Geo_TRACT	Geo_BLKGRP	Geo_CONCIT	Geo_AIANHH	Geo_AIANHHFP	Geo_AIHHTLI	Geo_AITS	Geo_ANRC	Geo_CBSA	Geo_CSA	Geo_METDIV	Geo_MACC	Geo_MEMI	Geo_NECTA	Geo_CNECTA	Geo_NECTADIV	Geo_UA	Geo_CDCURR	Geo_SLDU	Geo_SLDL	Geo_ZCTA5	Geo_SUBMCD	Geo_SDELM	Geo_SDSEC	Geo_SDUNI	Geo_UR	Geo_PCI	Geo_PUMA5	Geo_GEOID	Geo_NAME	Geo_BTTR	Geo_BTBG	Geo_QName	Geo_FIPS	Geo_AREALAND	Geo_AREAWATR	Geo_PLACESE	Geo_ZCTA3	SE_A00002_001	SE_A00002_002	SE_A00002_003
"ACSSF"	"ca"	"140"	"00"	""	""	""	"06"	"037"	""	""	"101110"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Census Tract 1011.10"	""	""	"Census Tract 1011.10, Los Angeles County, California"	"06037101110"	"1142401"	"0"	""	""	4014	9100.317	0.441083510811633
"ACSSF"	"ca"	"140"	"00"	""	""	""	"06"	"037"	""	""	"101122"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Census Tract 1011.22"	""	""	"Census Tract 1011.22, Los Angeles County, California"	"06037101122"	"2644045"	"0"	""	""	4164	4078.868	1.02087152527348
"ACSSF"	"ca"	"140"	"00"	""	""	""	"06"	"037"	""	""	"101220"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Census Tract 1012.20"	""	""	"Census Tract 1012.20, Los Angeles County, California"	"06037101220"	"698886"	"0"	""	""	3481	12900.17	0.269841404670601
"ACSSF"	"ca"	"140"	"00"	""	""	""	"06"	"037"	""	""	"101221"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Census Tract 1012.21"	""	""	"Census Tract 1012.21, Los Angeles County, California"	"06037101221"	"354178"	"0"	""	""	3756	27466.4	0.136748896133882
"ACSSF"	"ca"	"140"	"00"	""	""	""	"06"	"037"	""	""	"101222"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Census Tract 1012.22"	""	""	"Census Tract 1012.22, Los Angeles County, California"	"06037101222"	"296512"	"0"	""	""	2808	24527.46	0.114483928110864
"ACSSF"	"ca"	"140"	"00"	""	""	""	"06"	"037"	""	""	"101300"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Census Tract 1013"	""	""	"Census Tract 1013, Los Angeles County, California"	"06037101300"	"2580478"	"0"	""	""	4071	4086.003	0.996328168315838
"ACSSF"	"ca"	"140"	"00"	""	""	""	"06"	"037"	""	""	"101400"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Census Tract 1014"	""	""	"Census Tract 1014, Los Angeles County, California"	"06037101400"	"6310056"	"0"	""	""	3490	1432.485	2.43632634591357
"ACSSF"	"ca"	"140"	"00"	""	""	""	"06"	"037"	""	""	"102103"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Census Tract 1021.03"	""	""	"Census Tract 1021.03, Los Angeles County, California"	"06037102103"	"1186489"	"0"	""	""	1834	4003.44	0.458105983502626
"ACSSF"	"ca"	"140"	"00"	""	""	""	"06"	"037"	""	""	"102104"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Census Tract 1021.04"	""	""	"Census Tract 1021.04, Los Angeles County, California"	"06037102104"	"1658823"	"0"	""	""	4033	6296.887	0.640475168224718
"ACSSF"	"ca"	"140"	"00"	""	""	""	"06"	"037"	""	""	"102105"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Census Tract 1021.05"	""	""	"Census Tract 1021.05, Los Angeles County, California"	"06037102105"	"492761"	"0"	""	""	1610	8462.278	0.190256093850628
"ACSSF"	"ca"	"140"	"00"	""	""	""	"06"	"037"	""	""	"102107"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Census Tract 1021.07"	""	""	"Census Tract 1021.07, Los Angeles County, California"	"06037102107"	"12908562"	"13753"	""	""	3577	717.6932	4.98402386420323
"ACSSF"	"ca"	"140"	"00"	""	""	""	"06"	"037"	""	""	"103101"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Census Tract 1031.01"	""	""	"Census Tract 1031.01, Los Angeles County, California"	"06037103101"	"2029806"	"0"	""	""	2726	3478.316	0.783712511409319
"ACSSF"	"ca"	"140"	"00"	""	""	""	"06"	"037"	""	""	"103102"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Census Tract 1031.02"	""	""	"Census Tract 1031.02, Los Angeles County, California"	"06037103102"	"1241029"	"0"	""	""	4550	9495.705	0.479163996126623
"ACSSF"	"ca"	"140"	"00"	""	""	""	"06"	"037"	""	""	"103201"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Census Tract 1032.01"	""	""	"Census Tract 1032.01, Los Angeles County, California"	"06037103201"	"1954789"	"0"	""	""	4291	5685.339	0.754748284548037
"ACSSF"	"ca"	"140"	"00"	""	""	""	"06"	"037"	""	""	"103202"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Census Tract 1032.02"	""	""	"Census Tract 1032.02, Los Angeles County, California"	"06037103202"	"4738407"	"0"	""	""	2010	1098.655	1.8295092486915
"ACSSF"	"ca"	"140"	"00"	""	""	""	"06"	"037"	""	""	"103300"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Census Tract 1033"	""	""	"Census Tract 1033, Los Angeles County, California"	"06037103300"	"6141955"	"0"	""	""	3816	1609.161	2.37142218419545
"ACSSF"	"ca"	"140"	"00"	""	""	""	"06"	"037"	""	""	"103401"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Census Tract 1034.01"	""	""	"Census Tract 1034.01, Los Angeles County, California"	"06037103401"	"1401638"	"0"	""	""	2391	4418.16	0.541175480349716
"ACSSF"	"ca"	"140"	"00"	""	""	""	"06"	"037"	""	""	"103402"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Census Tract 1034.02"	""	""	"Census Tract 1034.02, Los Angeles County, California"	"06037103402"	"1099115"	"0"	""	""	3829	9022.772	0.424370692064983
"ACSSF"	"ca"	"140"	"00"	""	""	""	"06"	"037"	""	""	"104103"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Census Tract 1041.03"	""	""	"Census Tract 1041.03, Los Angeles County, California"	"06037104103"	"949109"	"0"	""	""	4281	11682.26	0.366453049203317
"ACSSF"	"ca"	"140"	"00"	""	""	""	"06"	"037"	""	""	"104105"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Census Tract 1041.05"	""	""	"Census Tract 1041.05, Los Angeles County, California"	"06037104105"	"584682"	"0"	""	""	6195	27442.23	0.225746991877955
